!	!
!	!
-1	!
2	!
34933	!
18098	!
48534	!
74184	!
27837	!
317	!
526173	!
26217	Geek.  Software Developer.  Photographer.  Dim sum enthusiast. Also tweets at @foodishappiness.
106983	!
174853	!
116139	!
3579	!
28900	!
21729	!
86536	!
1998	!
163375	!
60544	!
9496	!
14430	!
445	!
4380	!
20321	!
29738	!
16723	!
3354	!
108712	!
11234	!
3213	!
47754	!
22390	!
43726	!
23949	!
2193	!
162686	!
39943	!
41923	!
13250	!
212239	!
185392	!
32541	!
544298	!
131601	!
18673	!
28424	!
1618	!
91373	!
40051	!
21232	!
58693	!
157369	!
8833	!
30755	!
21721	!
1	!
54253	!
2449	!
27021	!
1305	!
10331	!
16313	!
17239	!
20010	!
76959	!
24377	!
42562	!
107594	!
15104	!
29161	!
73848	!
20818	!
8645	!
2222	!
50042	!
3	!
335	!
148790	!
15330	!
19584	!
163323	!
112573	!
20641	!
142343	!
31785	!
34535	!
526179	!
13486	!
5245	!
4247	!
51549	!
2333	!
16422	!
491162	!
7544	!
34226	!
35	!
84829	!
10337	!
526180	I know there are lots of Jon's out there: I'm the quiet tall bookish one with the big laugh.
26021	!
90292	!
202689	!
2297	!
13327	!
33998	!
12757	!
19551	!
930	!
3491	!
4621	!
266009	!
2348	!
1406	!
313	!
71378	!
19829	!
943	!
57248	!
27924	!
20824	!
22705	!
1065	!
5137	!
45404	!
28977	!
508	!
51198	!
23448	!
19505	!
11399	!
17438	!
55690	!
1700	!
91131	!
526185	!
29623	!
62666	!
7030	French developer, living in Strasbourg.
39267	!
120635	!
53561	!
26614	!
40338	!
1715	!
1340	!
5091	!
164079	!
4596	!
142572	!
581	!
831	!
13614	!
10034	!
11569	!
48120	!
21667	!
55284	!
61950	!
50771	!
145149	!
323	!
202641	!
2094	!
44914	!
29235	!
6489	!
207166	!
118728	!
189201	!
29689	!
12701	!
85086	!
575	!
123602	!
183046	!
1115	!
90368	!
42418	!
72993	!
100479	!
1064	!
82542	!
70131	!
66439	!
69289	!
29311	!
52109	!
38306	!
2728	!
207799	!
45425	!
5237	!
3083	!
47558	!
155188	!
191815	!
181785	!
29982	!
2991	!
118410	!
79304	!
7349	!
81202	!
15125	!
165268	!
10450	!
60447	!
80211	!
56646	!
6636	!
199250	!
87565	!
16107	!
3006	!
31611	Tech, politics, space, coffee. // PGP/contact: https://t.co/pXZaCKD6yJ
1588	!
209952	!
112721	!
3255	!
194533	!
20514	!
20061	!
40019	!
164368	!
86973	!
1269	!
193393	!
177592	!
36087	!
39174	!
82143	!
7936	!
60175	!
94307	!
39394	!
45806	!
63903	!
43112	!
509198	!
41136	!
538	!
18385	!
4224	!
30211	!
30362	!
31873	!
35227	!
215364	!
8811	!
12595	!
113787	!
156967	!
38671	!
46972	!
2726	!
60229	!
43003	!
510481	!
9717	!
64031	!
7077	!
21877	!
123802	!
202424	!
1781	!
2901	!
1420	!
37402	!
142767	!
165445	!
22376	!
42720	!
182994	!
13460	!
219462	!
1892	!
4186	!
166134	!
76829	!
208697	!
7830	!
17607	!
107679	!
150036	!
10584	!
192599	!
80009	!
294834	!
219578	!
3669	!
25705	!
30490	!
86963	!
116440	!
15786	!
6770	!
46120	!
141090	!
13146	!
526193	!
30696	!
17795	!
151903	!
4106	!
213609	!
10188	!
2851	!
11463	!
67856	!
12578	!
122815	!
65026	!
166689	!
233200	!
253739	!
50299	!
20562	!
125727	!
30237	!
144764	!
223858	!
307278	!
5543	!
21	!
126557	!
1059	!
56549	!
271145	!
90270	!
197692	!
45476	!
6262	!
80650	!
97687	!
36478	!
180005	!
